ID,celkova_delka,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
204,23387.27,0,0,3995.09,10929.81,7567.24,68.95,826.17,0,0,0,0
205,18253.6,0,0,0,4520.9,7020.46,3856.04,2856.19,0,0,0,0
206,29120.7,8745.86,0,0,0,0,0,4436.44,5290.97,965.21,4899.16,4783.06
207,12101.65,4571.84,0,0,0,0,0,3955.52,2814.7,759.6,0,0
208,14061.38,0,0,0,0,0,0,1653.24,4835.12,5701.79,1788.71,82.53
209,14214.01,0,0,0,0,2135.35,6050.48,1786.03,1735.32,2003.82,503.01,0
210,19532.18,0,0,0,0,3874.57,8332.86,6179.04,1145.7,0,0,0
211,8963.43,0,0,0,0,0,2305.25,3934.06,2326.04,398.07,0,0
212,8405.97,0,0,0,0,0,1745.48,6197.67,462.82,0,0,0
213,15013.17,28.1,0,0,0,0,2967.26,3484.44,4745.58,3676.38,111.42,0
214,19506.81,0,0,0,3253.11,2396.05,4422.69,4619.31,3586.45,1093.9,135.31,0
215,22384.41,0,0,4887.68,14028.28,3418.45,50.0,0,0,0,0,0
216,12407.37,0,0,0,5617.93,5843.01,946.43,0,0,0,0,0
217,16014.62,0,0,0,0,5636.04,8736.53,1642.05,0,0,0,0
218,8846.92,0,0,0,0,589.72,603.91,3431.28,3472.35,712.99,15.0,21.66
219,16269.36,0,0,0,0,0,0,6541.38,5972.61,3397.61,357.76,0
220,6683.83,0,0,0,0,330.83,1888.55,1526.02,2536.44,401.99,0,0
221,19721.12,0,0,0,0,0,0,1423.47,3835.84,7631.92,4775.09,2054.8
222,17714.56,103.46,0,0,0,0,0,5223.44,6531.6,4545.49,627.67,682.9
223,20753.27,0,0,0,0,0,2446.04,9112.83,8109.99,709.93,374.48,0
224,10814.7,0,0,0,0,3268.51,6798.59,747.6,0,0,0,0
225,10079.78,0,0,0,3251.54,6554.27,246.22,27.74,0,0,0,0
226,29769.94,0,0,4744.05,6720.97,7201.87,2201.43,4847.13,4054.5,0,0,0
227,24393.24,1277.14,0,0,0,0,4640.13,10560.73,3694.7,459.8,1838.61,1922.14
228,20730.73,0,0,0,0,0,0,7336.9,11011.72,2176.99,205.13,0
229,9600.07,0,0,0,0,3277.89,2296.17,2677.94,1348.06,0,0,0
230,20356.72,0,0,0,0,0,7303.82,9238.44,3150.71,663.76,0,0
231,9433.24,0,0,0,0,0,3116.8,3558.47,2536.13,221.84,0,0
232,22637.94,0,0,0,0,0,0,6354.08,8143.08,5005.41,2906.97,228.4
233,21308.17,0,0,0,0,0,6704.15,9207.23,4735.76,449.08,211.96,0
234,12115.98,0,0,0,0,0,1532.56,6905.88,2590.78,1086.75,0,0
235,11707.67,0,0,0,0,0,0,3319.29,5138.88,3249.5,0,0
236,18105.59,0,0,0,10814.29,6261.05,1030.25,0,0,0,0,0
237,20272.09,0,0,4844.67,6516.67,7678.48,0,1128.8,103.47,0,0,0
238,10829.85,0,0,0,0,446.83,0,4932.85,3689.4,1377.73,383.03,0
239,32573.65,0,0,0,0,4660.12,11771.22,12670.35,2890.66,581.29,0,0
240,29466.8,0,0,0,0,0,0,9360.58,13389.71,5898.96,817.56,0
241,16743.34,0,0,0,0,0,0,8178.6,6844.22,1720.53,0,0
242,12441.95,0,0,0,0,0,1191.9,6251.79,4888.72,109.54,0,0
243,13539.24,0,0,0,0,0,0,0,6028.88,6635.68,874.69,0
244,6212.0,0,0,0,4361.34,1709.38,141.29,0,0,0,0,0
245,9536.71,0,0,0,2822.09,1660.08,34.17,2945.33,1930.82,144.22,0,0
246,22067.63,0,0,0,5176.98,8053.61,5893.49,2943.55,0,0,0,0
247,29546.29,0,0,0,3126.8,5413.11,12839.41,5903.1,1698.83,565.03,0,0
248,22806.07,0,0,0,0,4879.48,6133.54,8095.89,3422.72,274.44,0,0
249,19115.66,0,0,847.54,5534.91,11287.12,1446.09,0,0,0,0,0
250,978.28,0,0,0,0,839.93,138.35,0,0,0,0,0
251,12761.96,0,0,0,1862.47,9748.62,1150.87,0,0,0,0,0
252,30668.1,0,0,0,1129.62,9721.26,17269.36,2507.72,40.14,0,0,0
253,14382.13,0,0,0,2372.64,5650.6,4315.23,1858.46,185.2,0,0,0
254,15624.45,0,0,0,0,5132.76,7674.63,2604.88,212.18,0,0,0
255,10276.07,1777.17,0,0,0,1106.48,849.55,3599.92,2580.12,362.83,0,0
256,11107.51,342.6,0,0,0,4320.55,3991.02,2314.1,139.23,0,0,0
257,15119.41,36.63,0,0,675.53,1587.22,5619.48,4958.77,1250.1,877.97,113.72,0
258,20228.33,0,0,0,0,1828.56,1179.85,4940.72,8342.48,3667.55,269.17,0
259,10535.91,0,0,0,0,0,0,2852.91,3755.04,3927.96,0,0
260,14321.02,0,0,0,4977.64,8631.62,711.76,0,0,0,0,0
261,9915.43,0,0,5079.98,1293.45,1305.49,619.44,1617.06,0,0,0,0
262,13377.61,0,0,0,0,3164.58,4328.06,5727.74,157.23,0,0,0
263,21540.02,0,0,0,2037.03,10549.13,6257.5,2637.81,58.55,0,0,0
264,15622.17,0,0,0,0,0,2281.55,4162.89,6535.28,2232.86,409.58,0
265,19996.53,0,0,0,4915.13,10181.12,3347.92,1303.32,249.04,0,0,0
266,24378.82,485.22,0,0,6196.58,8938.53,6797.08,1961.39,0,0,0,0
267,17976.68,333.94,0,0,4337.79,7325.47,4737.85,510.52,0,212.06,519.07,0
268,17664.46,0,0,0,0,4382.3,4937.25,5748.49,2187.87,335.08,73.47,0
269,16662.65,0,0,0,0,0,1165.91,4644.89,9301.12,1534.57,16.16,0
270,10238.23,0,0,0,0,0,0,2069.66,7594.0,574.57,0,0
271,6652.69,0,0,0,2300.11,4352.58,0,0,0,0,0,0
272,22867.32,0,0,0,5037.45,13053.63,3748.92,918.86,108.45,0,0,0
273,28306.97,0,0,0,4553.21,7267.11,12708.27,3711.64,66.74,0,0,0
274,27655.3,0,0,0,0,10727.04,11227.08,4698.16,1003.01,0,0,0
275,18084.79,0,0,0,0,5934.57,8259.37,3723.71,167.14,0,0,0
276,1191.67,0,0,0,0,0,0,755.15,319.73,116.78,0,0
277,23355.47,0,0,0,0,0,0,5141.14,11132.37,5136.36,1945.61,0
278,16842.81,0,0,0,0,5400.45,6938.68,3991.05,512.63,0,0,0
279,7248.07,0,0,0,0,4351.92,1516.77,1332.49,46.89,0,0,0
280,10647.58,0,0,0,1235.2,3643.16,2450.3,1965.99,1352.92,0,0,0
281,1323.97,0,0,0,555.76,768.21,0,0,0,0,0,0
282,20816.57,0,0,0,0,13038.07,5656.18,1796.53,325.79,0,0,0
283,23272.81,0,0,2976.42,6790.26,4034.85,5583.73,3501.78,385.77,0,0,0
284,24369.47,0,0,5053.64,12035.92,5896.82,604.47,670.01,108.61,0,0,0
285,20824.46,0,0,4119.74,9230.45,4541.08,2761.08,172.1,0,0,0,0
286,13431.35,0,0,0,0,0,5467.78,5509.99,2453.58,0,0,0
287,22250.71,428.09,0,0,0,0,0,1734.84,5664.05,7873.84,4095.98,2453.92
288,8984.42,0,0,0,0,0,3034.62,2315.5,2255.24,1140.32,238.74,0
289,6838.23,0,0,0,0,0,3563.03,2998.58,276.62,0,0,0
290,11140.25,0,0,0,0,0,3409.57,5235.16,1887.92,607.6,0,0
291,21763.15,0,0,0,6302.87,10710.51,3136.55,1613.23,0,0,0,0
292,16125.3,0,0,0,3699.15,8241.01,4005.67,179.48,0,0,0,0
293,16192.25,0,0,0,0,6315.11,5509.5,4300.14,67.5,0,0,0
294,13266.93,0,0,0,186.14,0,6137.5,6026.87,916.41,0,0,0
295,3201.92,0,0,0,3011.72,0,190.2,0,0,0,0,0
296,517.75,0,0,0,316.68,201.07,0,0,0,0,0,0
297,8950.31,0,0,0,0,325.19,4044.8,3692.99,887.33,0,0,0
298,2668.41,0,0,0,0,0,349.04,1096.82,1222.54,0,0,0
299,15634.94,0,0,0,0,0,5425.04,8688.79,1209.18,311.93,0,0
300,10225.97,0,0,0,0,0,2580.38,3088.34,3714.93,842.31,0,0
301,13335.55,0,0,0,0,0,4091.58,7758.92,1246.26,238.79,0,0
302,11622.59,0,0,0,438.7,0,5246.02,4349.3,1355.79,232.77,0,0
303,19033.39,0,0,0,0,5886.07,10240.43,2906.88,0,0,0,0
304,18771.1,0,0,0,0,5309.23,10716.96,2744.9,0,0,0,0
305,18966.79,0,0,0,7044.83,10218.58,1703.38,0,0,0,0,0
306,5761.72,0,0,0,4736.66,934.84,90.22,0,0,0,0,0
307,12199.98,0,0,0,449.94,5506.95,6243.1,0,0,0,0,0
308,8696.03,0,0,0,0,0,1239.09,1160.6,3716.97,1873.8,695.62,9.94
309,13994.6,0,0,0,0,0,6588.61,3017.41,3343.56,1045.02,0,0
310,17482.51,0,0,0,0,0,9364.25,4642.96,3256.99,218.32,0,0
311,17461.33,0,0,0,0,0,6010.91,7670.01,2788.37,992.04,0,0
312,17162.66,0,0,0,0,9175.84,5976.22,2010.61,0,0,0,0
313,18106.05,0,0,0,0,4689.89,11540.99,1875.17,0,0,0,0
314,15365.85,0,0,0,0,4705.69,9892.79,767.38,0,0,0,0
