ID,predvyber_ANO
16439,1
16494,1
16498,1
16499,1
16527,1
16547,1
16586,1
16591,1
16603,1
16604,1
16610,1
16632,1
16634,1
16637,1
16661,1
16677,1
16678,1
16722,1
16749,1
16752,1
16777,1
16795,1
16826,1
16827,1
16837,1
16851,1
16852,1
16869,1
16870,1
16884,1
16888,1
16892,1
16899,1
16900,1
16902,1
16939,1
17019,1
17028,1
17056,1
17089,1
17176,1
17219,1
17260,1
17283,1
17284,1
17295,1
17297,1
17304,1
17319,1
17337,1
17341,1
17360,1
17384,1
17387,1
17413,1
17428,1
17448,1
17453,1
17461,1
17466,1
17487,1
17508,1
17523,1
17529,1
17550,1
17557,1
17558,1
17560,1
17563,1
17588,1
17592,1
17593,1
17595,1
17598,1
17619,1
17620,1
17621,1
17623,1
17624,1
17627,1
17628,1
17634,1
17635,1
17636,1
17637,1
17638,1
17651,1
17659,1
17660,1
17662,1
17669,1
17681,1
17692,1
17695,1
17701,1
17703,1
17706,1
17707,1
17733,1
17739,1
17745,1
17749,1
17750,1
17772,1
17774,1
17792,1
17804,1
17814,1
17815,1
17817,1
17819,1
17835,1
17839,1
17854,1
17855,1
17858,1
17860,1
17864,1
17865,1
17873,1
17891,1
17893,1
17896,1
17898,1
17921,1
17922,1
17926,1
17932,1
17942,1
17959,1
17971,1
17973,1
17977,1
17986,1
18003,1
18004,1
18031,1
18057,1
18061,1
18080,1
18092,1
18098,1
18106,1
18134,1
18148,1
18150,1
18184,1
18200,1
18219,1
18231,1
18232,1
18236,1
18239,1
18270,1
18288,1
18290,1
18300,1
18313,1
18332,1
18333,1
18342,1
18352,1
18359,1
18375,1
18414,1
18450,1
18460,1
18475,1
18516,1
18551,1
18552,1
18578,1
18580,1
18607,1
18611,1
18612,1
18637,1
18638,1
18657,1
18677,1
18697,1
18699,1
18702,1
18717,1
18719,1
18733,1
18745,1
18754,1
18756,1
18778,1
18829,1
18836,1
18837,1
18838,1
18844,1
18863,1
18889,1
18894,1
18896,1
18909,1
18910,1
18911,1
18926,1
18938,1
18946,1
18964,1
18987,1
18991,1
18997,1
18999,1
19003,1
19004,1
19013,1
19016,1
19032,1
19044,1
19058,1
19121,1
19127,1
19140,1
19144,1
19145,1
19206,1
19263,1
19271,1
19296,1
19297,1
19365,1
19403,1
19410,1
19411,1
19422,1
19423,1
19429,1
19445,1
19446,1
19462,1
19463,1
19465,1
19479,1
19481,1
19487,1
19508,1
19523,1
19538,1
19543,1
19579,1
19580,1
19581,1
19591,1
19592,1
19598,1
19606,1
19607,1
19617,1
19652,1
19653,1
19658,1
19659,1
19678,1
19683,1
19684,1
19687,1
19688,1
19690,1
19712,1
19718,1
19722,1
19723,1
19724,1
19725,1
19727,1
19751,1
19752,1
19755,1
19759,1
19760,1
19768,1
19769,1
19770,1
19771,1
19783,1
19792,1
19795,1
19801,1
19814,1
19830,1
19831,1
19833,1
19835,1
19837,1
19838,1
19856,1
19864,1
19865,1
19872,1
19877,1
19882,1
19904,1
19906,1
19909,1
19927,1
19936,1
19948,1
19950,1
19951,1
19955,1
19965,1
19976,1
19990,1
19991,1
19999,1
20000,1
20006,1
20029,1
20031,1
20055,1
20056,1
20057,1
20059,1
20065,1
20070,1
20102,1
20104,1
20108,1
20116,1
20119,1
20122,1
20131,1
20132,1
20133,1
20134,1
20138,1
20192,1
20208,1
20225,1
20259,1
20264,1
20267,1
20281,1
20284,1
20287,1
20311,1
20315,1
20347,1
20361,1
20362,1
20366,1
20369,1
20397,1
20398,1
20417,1
20422,1
20428,1
20460,1
20461,1
20470,1
20479,1
20487,1
20499,1
20518,1
20577,1
20583,1
20593,1
20608,1
20649,1
20650,1
20684,1
20685,1
20686,1
20693,1
20706,1
20708,1
20711,1
20734,1
20738,1
20739,1
20765,1
20766,1
20789,1
20831,1
20833,1
20848,1
20849,1
20855,1
20857,1
20863,1
20876,1
20881,1
20886,1
20887,1
20889,1
20923,1
20946,1
20969,1
20970,1
21024,1
21040,1
21069,1
21091,1
21096,1
21115,1
21118,1
21122,1
21132,1
21136,1
21142,1
21145,1
21165,1
21176,1
21178,1
21194,1
21195,1
21208,1
21256,1
21265,1
21277,1
21283,1
21307,1
21345,1
21408,1
21433,1
21517,1
21518,1
21544,1
21553,1
21559,1
21561,1
21570,1
21572,1
21574,1
21592,1
21595,1
21617,1
21630,1
21638,1
21652,1
21653,1
21667,1
21672,1
21678,1
21720,1
21722,1
21728,1
21739,1
21748,1
21751,1
21783,1
21784,1
21785,1
21790,1
21791,1
21792,1
21814,1
21819,1
21823,1
21824,1
21826,1
21850,1
21851,1
21856,1
21857,1
21858,1
21859,1
21860,1
21862,1
21880,1
21884,1
21888,1
21890,1
21891,1
21892,1
21898,1
21899,1
21900,1
21924,1
21926,1
21927,1
21929,1
21933,1
21936,1
21939,1
21967,1
21970,1
21974,1
21976,1
21978,1
21979,1
22001,1
22003,1
22009,1
22020,1
22021,1
22047,1
22049,1
22052,1
22066,1
22087,1
22089,1
22090,1
22092,1
22102,1
22104,1
22127,1
22128,1
22136,1
22137,1
22142,1
22144,1
22159,1
22166,1
22168,1
22196,1
22204,1
22219,1
22240,1
22244,1
22261,1
22279,1
22280,1
22281,1
22288,1
22341,1
22352,1
22376,1
22399,1
22410,1
22415,1
22418,1
22433,1
22435,1
22437,1
22461,1
22466,1
22488,1
22500,1
22514,1
22515,1
22516,1
22519,1
22522,1
22558,1
22578,1
22582,1
22597,1
22627,1
22628,1
22637,1
22642,1
22657,1
22671,1
22701,1
22705,1
22714,1
22732,1
22733,1
22747,1
22763,1
22808,1
22809,1
22814,1
22840,1
22841,1
22842,1
22866,1
22868,1
22895,1
22896,1
22923,1
22984,1
22986,1
23002,1
23003,1
23006,1
23010,1
23013,1
23019,1
23037,1
23043,1
23074,1
23078,1
23125,1
23126,1
23133,1
23198,1
23224,1
23246,1
23249,1
23251,1
23252,1
23273,1
23276,1
23292,1
23301,1
23304,1
23305,1
23321,1
23329,1
23331,1
23347,1
23358,1
23370,1
23407,1
23408,1
23427,1
23433,1
23449,1
23458,1
23491,1
23493,1
23556,1
23582,1
23583,1
23670,1
23671,1
23696,1
23697,1
23707,1
23709,1
23724,1
23725,1
23747,1
23768,1
23769,1
23783,1
23795,1
23798,1
23799,1
23821,1
23824,1
23832,1
23864,1
23873,1
23876,1
23881,1
23901,1
23934,1
23936,1
23940,1
23941,1
23942,1
23943,1
23960,1
23967,1
23973,1
23975,1
23976,1
24005,1
24011,1
24012,1
24014,1
24015,1
24039,1
24040,1
24041,1
24043,1
24046,1
24047,1
24052,1
24053,1
24054,1
24055,1
24077,1
24080,1
24082,1
24089,1
24091,1
24117,1
24118,1
24119,1
24124,1
24126,1
24130,1
24152,1
24155,1
24156,1
24160,1
24167,1
24173,1
24174,1
24197,1
24198,1
24200,1
24201,1
24214,1
24226,1
24236,1
24238,1
24240,1
24242,1
24253,1
24256,1
24261,1
24284,1
24285,1
24290,1
24293,1
24294,1
24299,1
24301,1
24327,1
24328,1
24352,1
24358,1
24361,1
24378,1
24399,1
24403,1
24419,1
24440,1
24441,1
24472,1
24502,1
24516,1
24530,1
24537,1
24546,1
24559,1
24573,1
24577,1
24587,1
24592,1
24593,1
24610,1
24621,1
24626,1
24633,1
24646,1
24669,1
24670,1
24671,1
24678,1
24714,1
24732,1
24733,1
24739,1
24745,1
24756,1
24776,1
24786,1
24787,1
24795,1
24800,1
24816,1
24859,1
24862,1
24880,1
24890,1
24921,1
24964,1
24969,1
25001,1
25028,1
25029,1
25053,1
25054,1
25081,1
25122,1
25162,1
25164,1
25178,1
25200,1
25202,1
25285,1
25286,1
25287,1
25293,1
25346,1
25359,1
25377,1
25396,1
25416,1
25417,1
25438,1
25442,1
25457,1
25458,1
25463,1
25466,1
25468,1
25485,1
25511,1
25532,1
25566,1
25569,1
25591,1
25610,1
25619,1
25651,1
25652,1
25744,1
25745,1
25746,1
25755,1
25832,1
25862,1
25864,1
25871,1
25922,1
25924,1
25925,1
25926,1
25938,1
25945,1
25959,1
25969,1
25972,1
25984,1
25997,1
26006,1
26013,1
26018,1
26036,1
26064,1
26076,1
26085,1
26108,1
26109,1
26115,1
26116,1
26118,1
26138,1
26141,1
26142,1
26143,1
26144,1
26145,1
26146,1
26149,1
26171,1
26174,1
26179,1
26180,1
26182,1
26194,1
26209,1
26211,1
26212,1
26213,1
26217,1
26218,1
26220,1
26221,1
26226,1
26227,1
26245,1
26248,1
26253,1
26255,1
26264,1
26266,1
26285,1
26287,1
26294,1
26296,1
26300,1
26301,1
26303,1
26328,1
26339,1
26343,1
26344,1
26358,1
26372,1
26385,1
26390,1
26414,1
26417,1
26419,1
26435,1
26455,1
26456,1
26457,1
26459,1
26465,1
26471,1
26492,1
26497,1
26523,1
26525,1
26541,1
26547,1
26560,1
26571,1
26603,1
26604,1
26606,1
26624,1
26629,1
26661,1
26670,1
26672,1
26680,1
26692,1
26693,1
26698,1
26707,1
26738,1
26788,1
26792,1
26803,1
26807,1
26827,1
26844,1
26847,1
26861,1
26873,1
26892,1
26893,1
26938,1
26947,1
26949,1
26958,1
26965,1
26971,1
26979,1
27016,1
27048,1
27056,1
27078,1
27121,1
27122,1
27124,1
27126,1
27127,1
27148,1
27153,1
27154,1
27156,1
27157,1
27183,1
27209,1
27213,1
27214,1
27239,1
27260,1
27299,1
27301,1
27306,1
27320,1
27352,1
27358,1
27360,1
27381,1
27440,1
27441,1
27448,1
27473,1
27490,1
27496,1
27500,1
27512,1
27513,1
27542,1
27569,1
27570,1
27589,1
27591,1
27597,1
27607,1
27611,1
27618,1
27620,1
27621,1
27622,1
27623,1
27650,1
27750,1
27751,1
27813,1
27831,1
27897,1
27898,1
27975,1
28002,1
28009,1
28041,1
28059,1
28061,1
28062,1
28064,1
28079,1
28085,1
28100,1
28122,1
28127,1
28138,1
28142,1
28157,1
28161,1
28168,1
28180,1
28181,1
28186,1
28189,1
28191,1
28192,1
28202,1
28203,1
28216,1
28217,1
28225,1
28248,1
28250,1
28251,1
28254,1
28257,1
28258,1
28259,1
28280,1
28283,1
28284,1
28285,1
28287,1
28288,1
28289,1
28291,1
28292,1
28313,1
28321,1
28322,1
28324,1
28328,1
28336,1
28356,1
28357,1
28359,1
28362,1
28363,1
28364,1
28365,1
28366,1
28372,1
28373,1
28390,1
28394,1
28395,1
28401,1
28402,1
28409,1
28423,1
28434,1
28435,1
28438,1
28442,1
28445,1
28448,1
28449,1
28451,1
28467,1
28472,1
28485,1
28489,1
28490,1
28517,1
28519,1
28549,1
28560,1
28565,1
28600,1
28601,1
28602,1
28603,1
28609,1
28614,1
28636,1
