ID,find_path_problem,end_start_kombinace,nejlepsi_podil_ploch,pocet_pruseciku,zeleznice_delka,rozvodniceIII_delka,vodni_plohy_rozloha,relief_rozloha,zastavba_rozloha
557,0,45,1.02,22,10932.91,6968.81,622506.12,0.0,2672536.58
558,0,49,1.68,23,5654.12,4856.25,115731.31,0.0,1069008.89
559,0,32,1.06,22,7048.08,5610.23,161776.78,0.0,2452941.98
563,0,40,1.34,20,3104.0,3299.55,428358.68,0.0,478255.59
566,0,4,1.46,21,3608.94,9390.84,1269686.58,0.0,1859380.39
567,0,32,2.43,21,8043.68,2321.19,625355.92,13341.09,1169686.58
568,0,30,1.1,16,4014.38,2828.33,519161.8,30110.3,1514688.69
569,0,24,1.65,20,12564.72,11315.91,598414.51,0.0,2811772.39
574,0,25,2.0,18,9686.53,1202.13,418833.25,21453.06,1362977.38
578,0,10,1.26,18,5404.11,1448.82,122567.61,0.0,1447179.02
582,0,12,3.49,19,4189.23,5843.2,424020.3,60622.45,1408698.38
586,0,6,2.49,14,7157.71,1935.0,559327.7,18741.62,1088186.24
587,0,1,4.8,13,3911.0,5724.04,115594.27,0.0,592547.03
588,0,4,4.26,13,2363.5,4964.89,98471.78,1820.16,962716.45
592,24,60,2.03,15,7896.73,9323.51,404763.68,0.0,7521176.97
593,0,35,1.36,15,4065.57,6070.32,394952.46,7679.01,1621769.44
604,0,12,1.08,18,13452.69,5773.95,347201.56,14813.57,5240093.55
610,0,16,4.72,12,11193.06,6067.92,185633.0,9844.81,2320068.08
616,0,15,1.89,15,9822.26,2939.08,157774.66,27775.99,1280266.24
621,0,20,3.05,16,4144.29,4985.47,66797.46,77495.7,647971.38
622,0,36,1.16,15,2971.08,983.04,67051.43,22994.2,795175.95
624,0,2,1.21,15,1833.34,4389.32,71759.15,19164.61,586545.04
626,0,2,3.76,14,4201.46,4667.49,122442.65,0.0,1333912.03
635,7,20,4.97,15,4226.75,7261.56,452928.93,15784.31,919903.66
636,7,20,1.18,14,8538.19,4415.9,512812.59,36815.99,1131831.2
637,9,28,4.4,15,4131.08,7651.66,450825.83,0.0,1622236.97
644,0,40,2.24,20,2536.61,3040.47,138335.89,2659.15,1921457.05
645,24,153,3.86,13,5917.25,5479.52,327435.94,0.0,1481491.77
647,0,36,2.13,19,8737.13,903.82,137705.98,10641.88,1195438.54
651,0,49,2.95,16,6279.19,6248.91,148339.53,3315.0,165834.14
652,8,24,1.17,21,1894.92,4331.01,152949.07,66264.14,730574.29
659,0,5,1.47,16,11513.27,1975.38,1325990.94,9913.64,3266120.15
666,0,36,1.85,27,7908.71,11108.07,538834.43,670.39,3624194.05
667,0,162,2.82,15,4596.53,5060.15,131950.29,0.0,597332.29
678,0,4,1.9,19,13800.39,4569.2,458263.25,15943.13,881338.05
679,0,1,2.46,14,4221.8,2713.83,78551.6,4350.91,909823.05
682,0,12,4.75,14,4672.56,2446.26,631505.65,0.0,616378.89
687,5,12,2.42,25,11911.52,9349.2,249392.87,47852.91,3766994.2
694,10,35,3.14,13,3005.93,3080.03,70452.18,0.0,1003540.85
695,0,8,1.16,21,3926.9,5268.66,641070.6,13635.79,2567011.07
696,22,44,1.01,25,5777.69,3526.72,4581831.45,0.0,1167092.1
700,0,78,1.94,19,3429.48,1176.27,80013.6,5.0,664286.79
702,0,21,1.68,25,5244.95,4571.01,147194.98,18103.15,372979.65
709,0,1,1.22,25,6860.17,1200.16,75508.87,0.0,568142.98
711,0,9,3.08,18,4237.42,5458.45,490997.81,41271.13,1916988.32
712,0,2,1.67,15,9855.22,2440.8,1187440.25,0.0,3159568.27
729,0,250,3.72,14,1560.71,570.56,191087.4,15302.83,246280.12
730,0,18,1.16,26,6586.76,11246.5,63972.26,22.98,574584.98
738,0,5,2.93,19,5183.04,5680.49,281096.65,0.0,1405525.68
739,0,1,2.05,13,5078.75,1308.08,808480.25,2226.29,1287098.08
750,0,50,4.57,10,7121.21,6417.67,125445.73,22.98,194511.01
751,0,12,4.08,11,2157.53,5919.82,67410.56,0.0,436236.77
753,0,2,1.55,24,2644.22,7112.53,318770.79,1531.89,2895338.93
754,0,3,1.06,17,1346.03,3123.09,999463.64,51700.42,1336248.58
767,0,9,3.91,14,10121.09,4285.92,813812.04,15058.7,2827334.26
779,0,16,2.01,19,10171.95,1863.28,102412.18,5619.89,4033014.81
788,0,25,4.18,12,3511.49,4489.23,77145.85,51862.77,1989708.61
789,0,14,3.43,15,4689.41,5465.49,64101.49,2718.43,1690356.09
792,0,24,1.37,17,3978.57,2545.32,64023.85,3041.8,1371923.54
796,0,27,1.2,20,7153.38,512.76,102403.11,0.0,1084769.61
800,28,72,1.46,24,7290.83,5052.42,139877.54,78767.69,666394.39
813,14,60,2.79,20,4270.47,9853.3,65583.32,6174.97,73581.76
820,16,72,2.1,15,7192.11,1585.34,73397.79,91112.68,3046972.54
822,0,36,1.07,20,6586.46,4713.08,314252.63,115960.76,5924008.83
824,15,52,2.59,21,7367.22,1244.25,104048.89,77057.55,1873073.22
847,16,65,2.69,20,6388.3,4177.44,244891.03,28854.58,1098221.52
