ID,zeleznice_delka,vrstevnice_pocet,vodni_plohy_rozloha,dibA02_delka,relief_rozloha,zastavba_rozloha
232,2294.4,108.0,37175.48,16487.14,0.0,1163316.52
233,3356.99,134.0,34970.3,14385.25,0.0,1544241.89
234,8677.73,181.0,141273.02,23203.31,6832.57,994089.33
235,4310.1,223.0,75057.1,10252.05,27645.47,861226.72
236,5087.02,233.0,64613.34,8770.72,5378.23,858159.2
237,1295.44,161.0,17003.56,10863.39,971.14,640544.06
238,4819.33,84.0,325383.86,12912.15,2839.14,928843.18
239,4613.72,29.0,921157.97,6072.49,9105.11,308048.39
240,9766.91,18.0,2648333.18,13695.6,4959.78,485022.98
241,2170.82,28.0,1660443.08,14251.04,875207.31,2210859.54
242,4496.2,33.0,93589.14,7001.86,2706.61,986158.42
243,2436.23,26.0,150594.09,13724.08,0.0,660011.44
244,4230.2,24.0,3231731.02,14461.89,50472.05,664961.48
245,118.51,87.0,3585190.46,15470.61,1745.56,794761.89
246,6590.69,72.0,322561.58,13626.11,0.0,988044.24
247,4701.91,56.0,271781.42,15588.59,18987.38,544945.89
248,3400.64,53.0,35223.75,14824.26,0.0,630340.03
249,2044.77,42.0,106914.81,11501.06,2047.55,1319476.79
250,153.51,102.0,186760.93,2792.18,10390.53,1173619.19
251,6789.58,133.0,282794.54,3363.31,36639.79,2974142.72
252,5065.39,174.0,65726.53,9329.48,13163.86,417220.26
253,3013.59,118.0,603.53,5575.78,11465.31,710623.58
254,5425.68,32.0,98067.93,2116.31,0.0,2627608.54
255,3124.16,34.0,131881.77,2894.53,3243.01,1890956.78
256,5332.37,75.0,95216.82,4410.31,0.0,2659429.23
258,3131.92,285.0,46001.46,15498.87,0.0,915785.55
259,8400.36,73.0,80817.97,8096.03,0.0,2147748.4
260,3178.35,38.0,639605.69,6714.08,0.0,3117403.25
261,680.64,144.0,7798.7,22182.42,15991.56,728596.78
262,4665.91,255.0,41679.29,17194.82,2253.59,1047399.6
263,1693.05,219.0,35926.76,21881.69,1099.45,803127.91
264,5336.86,142.0,76820.6,12584.44,0.0,1911601.08
265,5887.6,220.0,18250.92,18083.04,0.0,945814.02
266,5212.49,162.0,99882.36,13611.16,24185.92,1011713.34
267,1299.55,111.0,81491.1,15381.75,0.0,478942.15
268,4421.98,147.0,908368.44,8753.2,8393.91,551017.63
269,4152.21,34.0,1308514.39,13284.73,0.0,2281371.94
270,12244.28,65.0,1508131.19,7383.61,1887.22,499022.29
271,2675.34,34.0,702852.06,9867.28,187912.17,840381.46
272,6560.42,22.0,49170.15,11911.83,0.0,787691.22
273,1627.73,18.0,6436517.82,14055.84,929.76,469626.69
274,4407.59,47.0,2366699.42,13648.65,212586.44,480471.98
275,508.75,119.0,1860485.01,14533.72,0.0,318190.51
276,2668.64,80.0,581728.11,11395.03,0.0,580616.12
277,9912.51,90.0,909498.49,10476.35,803.45,4224698.09
278,8207.14,71.0,459814.95,9797.65,22070.81,773865.7
279,5898.02,121.0,791644.78,10812.04,0.0,506900.14
280,569.29,64.0,435032.42,17114.44,1.0,439800.68
281,3967.09,115.0,126729.04,16390.1,1482.09,451650.46
282,6180.58,86.0,14076.27,12374.41,770.14,947906.62
283,372.09,156.0,684.79,8544.43,2273.97,1531667.07
284,291.55,142.0,4198.38,9961.61,0.0,78522.34
285,8981.53,157.0,15258.9,10990.76,0.0,1123098.83
286,7.31,140.0,76783.08,7126.75,1.0,1160379.38
287,13980.78,58.0,21699.08,1688.19,8101.77,3953927.77
288,6371.92,15.0,286463.88,8270.97,0.0,4086224.07
289,1807.92,14.0,70058.82,5142.87,0.0,1297137.4
290,1590.65,52.0,68769.37,4988.6,0.0,1181659.04
291,7169.54,48.0,93171.06,7088.54,0.0,1931101.34
292,4795.17,74.0,241607.86,14001.5,0.0,1396746.9
293,4119.82,53.0,110238.75,8334.32,0.0,1581645.32
294,5519.45,79.0,86025.59,7078.63,843.3,1232246.09
295,4728.11,87.0,10875.07,18225.83,0.0,1402392.37
296,4678.41,111.0,1887.01,12449.14,0.0,530877.75
297,8713.1,175.0,508.08,14071.96,0.0,720988.42
298,216.37,178.0,311122.39,9847.2,0.0,1438546.13
299,4666.2,39.0,329969.7,12782.64,0.0,2403127.54
300,414.95,246.0,129988.62,19804.27,0.0,1438708.3
301,6323.94,111.0,10963.38,21782.56,0.0,6547265.79
302,1059.96,164.0,52296.93,20697.33,0.0,761889.68
303,2898.53,344.0,224315.93,30429.83,8243.96,172814.96
304,4661.2,201.0,88955.94,14399.36,0.0,1675228.52
305,4050.21,89.0,207626.61,12245.73,1885.91,1009430.54
306,3014.09,72.0,498437.85,8392.63,0.0,234098.77
307,10010.27,67.0,221566.24,14769.81,2926.4,1622052.81
308,10404.21,96.0,167131.15,12472.46,3477.22,2431652.85
309,2778.32,22.0,168580.83,21905.96,0.0,800629.2
310,11601.31,51.0,1237575.97,10264.42,7191.56,2059946.79
311,1464.56,31.0,1196151.42,9848.41,0.0,212220.16
312,3293.07,42.0,467370.82,13415.81,0.0,1590531.88
313,4621.56,76.0,1152071.2,11424.26,0.0,348799.81
314,3826.09,61.0,608553.81,13206.75,9166.14,588861.85
315,8775.09,38.0,667918.77,14115.59,0.0,831057.31
316,7395.22,55.0,1027210.97,14821.94,0.0,281107.15
317,630.35,72.0,348711.99,12827.04,1.0,376424.33
318,2516.65,89.0,515286.42,16512.29,0.0,2064669.61
319,3923.06,177.0,93728.24,18334.03,0.0,394157.94
320,4659.87,115.0,25137.5,11678.41,0.0,616381.2
321,4212.56,114.0,507274.04,4605.53,47259.58,813102.32
322,2074.28,187.0,134027.89,12367.97,28591.93,536710.52
323,4877.47,138.0,26471.09,11487.74,0.0,692824.93
324,4399.71,125.0,2935.93,11041.27,0.0,1038632.25
325,4529.33,135.0,9476.78,19967.43,4645.33,1286512.89
326,8115.61,181.0,7197.86,10906.09,42710.17,2787783.69
327,4517.29,205.0,7069.8,13673.77,0.0,1437406.21
328,5497.63,106.0,801.73,8507.92,0.0,4611896.16
329,44570.57,80.0,131617.47,6277.16,0.0,8730924.42
330,17906.92,48.0,101057.51,3242.06,80689.25,5730721.34
331,10168.21,60.0,30135.77,1641.91,248.72,3312755.9
332,4747.67,70.0,170042.44,8721.96,22164.1,1497999.94
333,13725.22,77.0,40913.14,4304.86,0.0,1048491.24
334,352.33,138.0,31757.27,1815.63,0.0,3343048.05
335,40.41,149.0,15744.67,10523.82,3750.0,971974.01
336,2150.74,114.0,111441.17,13786.06,1572.09,1111378.27
337,1896.72,191.0,23490.75,14686.44,0.0,1031805.96
338,421.32,231.0,30965.49,14446.05,0.0,1608733.05
339,3729.05,194.0,727323.81,10516.28,0.0,1928983.62
340,6467.95,133.0,41799.64,26402.61,11628.08,142399.28
341,1145.26,212.0,139167.75,16348.93,43.96,12112.17
342,4570.3,124.0,97997.28,10730.81,5.0,508663.89
343,1016.47,73.0,524034.88,13121.91,0.0,473616.36
344,9014.32,50.0,222997.82,13343.37,0.0,641712.5
345,4925.09,111.0,805662.43,11592.86,0.0,1554182.5
346,5874.87,109.0,686385.98,7321.26,13466.51,2271210.98
347,7302.9,41.0,1830482.02,13155.49,5191.52,1057406.31
348,3078.8,27.0,589645.24,9795.7,6191.11,622660.07
349,2224.7,41.0,1564233.91,7981.84,0.0,291209.2
350,4531.89,45.0,437084.13,22359.39,0.0,626677.15
351,4497.5,66.0,184719.13,15846.55,0.0,608415.87
352,4745.31,66.0,394169.09,9197.73,0.0,469050.93
