ID,vhodny_ziv,vhodny_soucet,vhodny_pocet,vrstevnice_orig
772,20,115.0,38.0,265.0
773,10,148.0,42.0,260.0
774,20,97.0,30.0,297.0
775,20,102.0,22.0,368.0
776,5,143.0,41.0,141.0
777,5,167.0,46.0,156.0
778,10,114.0,37.0,228.0
779,20,93.0,19.0,189.0
780,20,92.0,27.0,310.0
781,20,98.0,26.0,288.0
782,10,161.0,44.0,216.0
783,5,139.0,62.0,85.0
784,20,106.0,27.0,286.0
785,99999,99999.0,99999.0,312.0
786,10,150.0,43.0,120.0
787,10,117.0,44.0,196.0
788,20,127.0,33.0,170.0
789,20,66.0,22.0,202.0
790,10,103.0,27.0,90.0
791,20,93.0,22.0,126.0
792,20,103.0,28.0,252.0
793,10,166.0,42.0,224.0
794,10,155.0,34.0,142.0
795,10,120.0,39.0,151.0
796,10,86.0,31.0,162.0
797,20,128.0,45.0,334.0
798,20,160.0,42.0,332.0
799,20,118.0,32.0,355.0
800,20,161.0,44.0,348.0
801,20,115.0,30.0,142.0
802,20,96.0,23.0,283.0
803,99999,99999.0,99999.0,144.0
804,10,139.0,44.0,189.0
805,20,136.0,32.0,307.0
806,20,151.0,41.0,581.0
807,20,100.0,25.0,207.0
808,20,112.0,28.0,223.0
809,10,161.0,49.0,150.0
810,20,112.0,32.0,216.0
811,20,74.0,20.0,320.0
812,20,115.0,30.0,388.0
813,10,151.0,34.0,109.0
814,20,96.0,25.0,160.0
815,20,169.0,37.0,193.0
816,10,118.0,45.0,139.0
817,20,136.0,31.0,333.0
818,20,123.0,31.0,211.0
819,20,172.0,44.0,307.0
820,10,120.0,34.0,160.0
821,10,149.0,34.0,268.0
822,20,76.0,21.0,189.0
823,20,99.0,25.0,237.0
824,20,166.0,41.0,210.0
825,10,130.0,28.0,153.0
826,20,87.0,21.0,169.0
827,20,96.0,28.0,382.0
828,20,90.0,19.0,295.0
829,20,92.0,25.0,313.0
830,20,155.0,40.0,313.0
831,20,130.0,37.0,439.0
832,20,148.0,33.0,233.0
833,20,113.0,27.0,198.0
834,20,142.0,32.0,251.0
835,10,108.0,39.0,159.0
836,10,159.0,52.0,236.0
837,20,106.0,33.0,266.0
838,20,87.0,29.0,330.0
839,20,95.0,26.0,235.0
840,10,141.0,37.0,207.0
841,20,92.0,32.0,274.0
842,20,101.0,40.0,335.0
843,10,161.0,42.0,191.0
844,10,169.0,48.0,126.0
